,docid,model,nonfactual_spans,evidence,summary,factual_error,error_type,dialogue,origin,linguistic_categories
1936,13727716,GPT-4,['he kept them on until he showered in the morning'],['Susie :  yes. He kept them till this morning after his shower.'],"Aude and Susie are discussing Ted, who seems to have used plasters (band-aids). Susie confirms that he kept them on until he showered in the morning, a memory from Poland. They also joke about how he might look attractive with them.",1,['Extrinsic_Error'],"Aude: Hi Susie, how is Ted this morning? Did you find plasters?
Susie: yes. He kept them till this morning after his shower.
Aude: he must look sexy whith them... lol
Susie: a  memory from  Poland!",FacEval,['Logical Error']
1937,13727716,Alpaca-13B,[],[],"Ted kept his plasters until this morning after his shower, and Aude commented that he must look sexy with them.",0,[],"Aude: Hi Susie, how is Ted this morning? Did you find plasters?
Susie: yes. He kept them till this morning after his shower.
Aude: he must look sexy whith them... lol
Susie: a  memory from  Poland!",FacEval,[]
1939,13728535,BART,[],[],Kas will probably tidy up Laura's dreads this weekend.,0,[],"Laura: Do you think you can tidy up my dreads for me this weekend?
Kas: Probably. Have to check my schedule with work first and let you know.
Laura: <file_photo>
Laura: <file_photo>
Laura: <file_photo>
Laura: They're really messy.
Kas: It'll take a couple of days to sort out the mess. I'll let you know tonight if I can do it.",SAMSum,[]
1942,13728535,GPT-4,[],[],Laura asked Kas if they could tidy up her dreads over the weekend. Kas responded that they might be able to do it but needed to check their work schedule first. Laura then sent some photos showing that her dreads are messy. Kas indicated that fixing Laura's dreads may take a few days and would confirm later in the day if they could do it.,0,[],"Laura: Do you think you can tidy up my dreads for me this weekend?
Kas: Probably. Have to check my schedule with work first and let you know.
Laura: <file_photo>
Laura: <file_photo>
Laura: <file_photo>
Laura: They''re really messy.
Kas: It''ll take a couple of days to sort out the mess. I''ll let you know tonight if I can do it.",SAMSum,[]
1943,13728535,Alpaca-13B,[],[],"Kas has offered to tidy up Laura's dreadlocks this weekend, but they will need to check their schedules and Kas will need to confirm. Laura has sent three file photos of her dreadlocks to show how messy they are.",0,[],"Laura: Do you think you can tidy up my dreads for me this weekend?
Kas: Probably. Have to check my schedule with work first and let you know.
Laura: <file_photo>
Laura: <file_photo>
Laura: <file_photo>
Laura: They''re really messy.
Kas: It''ll take a couple of days to sort out the mess. I''ll let you know tonight if I can do it.",SAMSum,[]
1946,13730863,BART,[],[],Taylor is throwing a party at his house tomorrow at 8 PM. 10 people confirmed.,0,[],"Taylor: Tomorrow, 8 PM, my house
Harry: Lol, whats up?
Taylor: My parents are away, 10 people confirmed already :D
Harry: Im sooo in
Taylor: You better, youd miss the party of the year!",FacEval,[]
1948,13730863,GPT-4,[],[],"Taylor is planning a party at her house tomorrow at 8 PM while her parents are away and confirms that 10 people are already expected to attend. Upon knowing about the party, Harry expresses enthusiasm about joining as well.",0,[],"Taylor: Tomorrow, 8 PM, my house
Harry: Lol, whats up?
Taylor: My parents are away, 10 people confirmed already :D
Harry: Im sooo in
Taylor: You better, youd miss the party of the year!",FacEval,[]
1949,13730863,Alpaca-13B,[],[],Taylor is hosting a party at their house while their parents are away and has invited 10 people. Harry has confirmed his attendance and is excited about the party.,0,[],"Taylor: Tomorrow, 8 PM, my house
Harry: Lol, whats up?
Taylor: My parents are away, 10 people confirmed already :D
Harry: Im sooo in
Taylor: You better, youd miss the party of the year!",FacEval,[]
1951,13682284,BART,[],[],Adelle will clean the hamster cage after school.,0,[],"Pete: Did you clean the hamster cage?
Adelle: No. Is it my turn?
Pete: Yes. After school, no excuses.
Adelle: Fine.",SAMSum,[]
1954,13682284,GPT-4,[],[],"Pete asks Adelle if she cleaned the hamster cage, which she didn't. Pete confirms it's her turn to do so and instructs her to clean it after school without making any excuses, to which Adelle agrees.",0,[],"Pete: Did you clean the hamster cage?
Adelle: No. Is it my turn?
Pete: Yes. After school, no excuses.
Adelle: Fine.",SAMSum,[]
1955,13682284,Alpaca-13B,['Pete said it was his turn'],['Adelle :  No. Is it my turn?'],Pete and Adelle discussed who was responsible for cleaning the hamster cage. Pete said it was his turn and Adelle reluctantly agreed to do it after school.,1,['Intrinsic_Error'],"Pete: Did you clean the hamster cage?
Adelle: No. Is it my turn?
Pete: Yes. After school, no excuses.
Adelle: Fine.",SAMSum,['Referential Error']
1957,test_206,BART,[],[],#Person1# wants to play the card games for a while. #Person2# warns him not to make noise or touch anything.,0,[],"#Person1#: Mom, may I play the card games for a while?
#Person2#: Do you know Dad working is in the study.
#Person1#: I won't make any noise. Mom, please.
#Person2#: Behave yourself! Don't make any noise. Have you finished your homework?
#Person1#: Yes, I've finished.
#Person2#: Okay, then let me see.
#Person1#: er. . . , mom, I promise. I won't make a single noise.
#Person2#: All right. Just five minutes. Be sure not to touch anything.
#Person1#: Ok. I won't get into trouble.
#Person2#: Be careful!
#Person1#: Thanks for the warning, Mom.",DialogSum,[]
1960,test_206,GPT-4,[],[],"The child asks their mom if they can play card games, assuring her that they won't disturb their dad who is working in the study. The mom asks if the child has finished their homework; they affirm that it's done. After some persuasion, the mother reluctantly permits them to play for five minutes on the condition they don't touch anything and cause trouble. The child promises to be careful and thanks their mom for the warning.",0,[],"#Person1#: Mom, may I play the card games for a while?
#Person2#: Do you know Dad working is in the study.
#Person1#: I won''t make any noise. Mom, please.
#Person2#: Behave yourself! Don''t make any noise. Have you finished your homework?
#Person1#: Yes, I''ve finished.
#Person2#: Okay, then let me see.
#Person1#: er. . . , mom, I promise. I won''t make a single noise.
#Person2#: All right. Just five minutes. Be sure not to touch anything.
#Person1#: Ok. I won''t get into trouble.
#Person2#: Be careful!
#Person1#: Thanks for the warning, Mom.",DialogSum,[]
1961,test_206,Alpaca-13B,[],[],"Person1 asked their mom if they could play card games for a while, but Person2 reminded them that their dad was working in the study and warned them to be quiet. Person1 promised to be careful and their mom gave them permission for five minutes of quiet gameplay.",0,[],"#Person1#: Mom, may I play the card games for a while?
#Person2#: Do you know Dad working is in the study.
#Person1#: I won''t make any noise. Mom, please.
#Person2#: Behave yourself! Don''t make any noise. Have you finished your homework?
#Person1#: Yes, I''ve finished.
#Person2#: Okay, then let me see.
#Person1#: er. . . , mom, I promise. I won''t make a single noise.
#Person2#: All right. Just five minutes. Be sure not to touch anything.
#Person1#: Ok. I won''t get into trouble.
#Person2#: Be careful!
#Person1#: Thanks for the warning, Mom.",DialogSum,[]
1964,13727579,BART,"[None, None, None]",[],Mum will wrap something up for Steve.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Mum: hungry?
Steve: starving...
Mum: I'll wrap something up for you.
Steve: You're the best, thank you!",FacEval,['INVALID']
1966,13727579,GPT-4,[],[],"Steve tells his mum that he's extremely hungry, to which his mum says she'll prepare something for him to eat. Steve appreciates his mum for this.",0,[],"Mum: hungry?
Steve: starving...
Mum: I''ll wrap something up for you.
Steve: You''re the best, thank you!",FacEval,[]
1967,13727579,Alpaca-13B,[],[],Steve is hungry and his mother offers to make him something to eat.,0,[],"Mum: hungry?
Steve: starving...
Mum: I''ll wrap something up for you.
Steve: You''re the best, thank you!",FacEval,[]
1969,13727579,BART,[],[],Mum will wrap something up for Steve.,0,[],"Mum: hungry?
Steve: starving...
Mum: I'll wrap something up for you.
Steve: You're the best, thank you!",SAMSum,[]
1972,13727579,GPT-4,[],[],"Steve tells his mum that he's extremely hungry, to which his mum says she'll prepare something for him to eat. Steve appreciates his mum for this.",0,[],"Mum: hungry?
Steve: starving...
Mum: I''ll wrap something up for you.
Steve: You''re the best, thank you!",SAMSum,[]
1973,13727579,Alpaca-13B,[],[],Steve is hungry and his mother offers to make him something to eat.,0,[],"Mum: hungry?
Steve: starving...
Mum: I''ll wrap something up for you.
Steve: You''re the best, thank you!",SAMSum,[]
1976,13716129,BART,"[None, None, None]",[],"Sutter is injured, so he can't play the game tonight. The game starts at 8.",1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Sawyer: ball game 2nite?
Sutter: injured
Wheeler: what time?
Sawyer: 5.30? 6?
Wheeler: anytime l8r?
Sawyer: pitch booked at 8 so we need to start earlier
Wheeler: so im out sry
Yardley: i guess next time be better",FacEval,['Logical Error']
1978,13716129,GPT-4,[],[],"Sawyer is planning a ball game and asks if everyone is available at 5:30 or 6. Sutter cannot participate due to an injury. Wheeler, unable to join because the time slot is too early, asks if they can play later, but Sawyer explains the pitch is booked at 8. Wheeler therefore declines, and Yardley suggests next time may be more convenient.",0,[],"Sawyer: ball game 2nite?
Sutter: injured
Wheeler: what time?
Sawyer: 5.30? 6?
Wheeler: anytime l8r?
Sawyer: pitch booked at 8 so we need to start earlier
Wheeler: so im out sry
Yardley: i guess next time be better",FacEval,[]
1979,13716129,Alpaca-13B,"['Wheeler had to decline due to an injury', 'Sawyer then asked if they could play later']","['Sutter :  injured', 'Wheeler :  anytime l8r?']","Sawyer invited Wheeler to a ball game, but Wheeler had to decline due to an injury. Sawyer then asked if they could play later, but Wheeler had to decline again as he was unavailable at a later time. Yardley expressed disappointment at Wheeler's unavailability.",1,"['Intrinsic_Error', 'Intrinsic_Error']","Sawyer: ball game 2nite?
Sutter: injured
Wheeler: what time?
Sawyer: 5.30? 6?
Wheeler: anytime l8r?
Sawyer: pitch booked at 8 so we need to start earlier
Wheeler: so im out sry
Yardley: i guess next time be better",FacEval,"['Referential Error', 'Referential Error']"
1982,13862663,BART,[],[],"Ava is 158 cm tall, which is shorter than penguins.",0,[],"Colin: Hey I have some news that you would be really interested!(`)
Ava: What is it?
Colin: How tall are you you said?
Ava: 158...cm.. why?(-_-)
Colin: Congratulations! You are defeated by penguin()
Ava: What are you talking about?
Colin: Penguins' average  height is 162cm when they stand up 
Colin: So you are officially shorter than penguins()",FacEval,[]
1984,13862663,GPT-4,[],[],"Colin jokes with Ava by comparing her height to that of a penguin, noting that with her height of 158cm, she is shorter than the average penguin which is 162cm.",0,[],"Colin: Hey I have some news that you would be really interested!(`)
Ava: What is it?
Colin: How tall are you you said?
Ava: 158...cm.. why?(-_-)
Colin: Congratulations! You are defeated by penguin()
Ava: What are you talking about?
Colin: Penguins'' average  height is 162cm when they stand up 
Colin: So you are officially shorter than penguins()",FacEval,[]
1985,13862663,Alpaca-13B,[],[],"Colin teases Ava by saying that penguins are taller than her when she reveals her height. Ava is confused by his statement, to which Colin replies that penguins have an average height of 162 cm when they stand up.",0,[],"Colin: Hey I have some news that you would be really interested!(`)
Ava: What is it?
Colin: How tall are you you said?
Ava: 158...cm.. why?(-_-)
Colin: Congratulations! You are defeated by penguin()
Ava: What are you talking about?
Colin: Penguins'' average  height is 162cm when they stand up 
Colin: So you are officially shorter than penguins()",FacEval,[]
1988,13681079,BART,[],[],Terry will take his dog away before Dinny arrives.,0,[],"Dinny: can you take your dog away before i come?
Terry: are you afraid?
Dinny: a little
Terry: ok than",FacEval,[]
1990,13681079,GPT-4,[],[],"Dinny asks Terry to remove his dog before he arrives, admitting he is a bit scared. Terry agrees to his request.",0,[],"Dinny: can you take your dog away before i come?
Terry: are you afraid?
Dinny: a little
Terry: ok than",FacEval,[]
1991,13681079,Alpaca-13B,['before Terry comes over.'],['Dinny :  can you take your dog away before i come?'],"Dinny is asking Terry if she can take her dog away before Terry comes over. Terry is asking if Dinny is afraid, and Dinny admits that she is a little afraid. Terry reassures her and tells her it's okay.",1,['Intrinsic_Error'],"Dinny: can you take your dog away before i come?
Terry: are you afraid?
Dinny: a little
Terry: ok than",FacEval,['Referential Error']
1994,13730929,BART,[],[],Celine will visit Cara in the evening.,0,[],"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i'm not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok",FacEval,[]
1996,13730929,GPT-4,[],[],Cara wanted to visit Celine but found out she wasn't at home. They talked about potentially meeting in the evening if Celine decides to come over. They agreed to stay in touch.,0,[],"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i''m not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok",FacEval,[]
1997,13730929,Alpaca-13B,[],[],"Cara wanted to pass by and check on Celine, but she wasn't at home. Celine offered to drop by in the evening, but Cara said it was fine and suggested she call her then if she decided to come.",0,[],"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i''m not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok",FacEval,[]
1999,13716170,BART,"['her', 'her']",[],Lorenna can't come to the party tomorrow because Emma has a fever and she needs to take her to the doctor. She needs to stay at home with her for a few days.,1,"['Intrinsic_Error', 'Intrinsic_Error']","Lorenna: Girls, Im sorry, I cant come to the party tomorrow :(
Lorenna: Emma has a fever and I need to take her to the doctor.
Ann: Oh Im so sorry about her:(
Shirley: :( 
Shirley: how's she feeling?
Lorenna: not too bad, but I need to stay at home with her for a few days.
Lorenna: she's sleeping now. 
Ann: give her a kiss from auntie Anna! :*
Shirley: and from me too! :*
Lorenna: thanks! :*",SAMSum,"['Referential Error', 'Referential Error']"
2002,13716170,GPT-4,"['her friends,', 'her daughter, Emma,']","['Not found', 'Lorenna :  Emma has a fever and I need to take her to the doctor.']","Lorenna informs her friends, Ann and Shirley, that she can't attend the party as her daughter, Emma, has a fever and she needs to stay at home to take care of her. Both friends express sympathy and send their love to Emma.",1,"['Extrinsic_Error', 'Extrinsic_Error']","Lorenna: Girls, Im sorry, I cant come to the party tomorrow :(
Lorenna: Emma has a fever and I need to take her to the doctor.
Ann: Oh Im so sorry about her:(
Shirley: :( 
Shirley: how''s she feeling?
Lorenna: not too bad, but I need to stay at home with her for a few days.
Lorenna: she''s sleeping now. 
Ann: give her a kiss from auntie Anna! :*
Shirley: and from me too! :*
Lorenna: thanks! :*",SAMSum,"['Circumstantial Inference', 'Circumstantial Inference']"
2003,13716170,Alpaca-13B,['daughter'],['Not found'],"Lorenna has to stay at home with her sick daughter, Emma, and her friends are sending her their best wishes.",1,['Extrinsic_Error'],"Lorenna: Girls, Im sorry, I cant come to the party tomorrow :(
Lorenna: Emma has a fever and I need to take her to the doctor.
Ann: Oh Im so sorry about her:(
Shirley: :( 
Shirley: how''s she feeling?
Lorenna: not too bad, but I need to stay at home with her for a few days.
Lorenna: she''s sleeping now. 
Ann: give her a kiss from auntie Anna! :*
Shirley: and from me too! :*
Lorenna: thanks! :*",SAMSum,['Circumstantial Inference']
2006,13828550,BART,"[None, None, None, None]",[],Dan and Eric have watched Punisher season 2 and they think it was better than the first one. Netflix discontinued Daredevil.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Eric: Yo yo
Dan: Yo man
Eric: Have you watched Punisher season 2?
Dan: Yeah, it was cool
Eric: I think the first one was better but the second one did some things better
Dan: Like what?
Eric: Like showing Frank as the actual Punisher and not just a guy seeking vengeance for his family
Dan: Yep, season 1 was kinda weird
Eric: Anyway I think they should have given Jigsaw more scars
Dan: Yeah
Eric: Anyway it's a shame they discontinued Daredevil
Dan: I know... shame shame shame
Eric: Netflix's walk of shame
Dan: They're as blind as Matt Murdock but without the radar XD",FacEval,['Referential Error']
2008,13828550,GPT-4,"[""Daredevil's main character""]",['Not found'],"Eric and Dan discuss their thoughts on the second season of ""Punisher,"" agreeing that it better portrayed Frank as the Punisher. They wished Jigsaw had more scars and lamented the cancellation of Daredevil on Netflix, making a joke that Netflix is as blind as Matt Murdock, Daredevil's main character.",1,['Extrinsic_Error'],"Eric: Yo yo
Dan: Yo man
Eric: Have you watched Punisher season 2?
Dan: Yeah, it was cool
Eric: I think the first one was better but the second one did some things better
Dan: Like what?
Eric: Like showing Frank as the actual Punisher and not just a guy seeking vengeance for his family
Dan: Yep, season 1 was kinda weird
Eric: Anyway I think they should have given Jigsaw more scars
Dan: Yeah
Eric: Anyway it''s a shame they discontinued Daredevil
Dan: I know... shame shame shame
Eric: Netflix''s walk of shame
Dan: They''re as blind as Matt Murdock but without the radar XD",FacEval,['World Knowledge']
2009,13828550,Alpaca-13B,['and giving Jigsaw more scars'],['Eric :  Anyway I think they should have given Jigsaw more scars'],"Eric and Dan discuss the second season of Punisher, with Eric saying that he prefers the first season but that the second one did some things better, such as showing Frank as the actual Punisher and giving Jigsaw more scars. Dan agrees that the first season was weirder and that it's a shame that Daredevil was discontinued. They both agree that Netflix's walk of shame is a shame.",1,['Intrinsic_Error'],"Eric: Yo yo
Dan: Yo man
Eric: Have you watched Punisher season 2?
Dan: Yeah, it was cool
Eric: I think the first one was better but the second one did some things better
Dan: Like what?
Eric: Like showing Frank as the actual Punisher and not just a guy seeking vengeance for his family
Dan: Yep, season 1 was kinda weird
Eric: Anyway I think they should have given Jigsaw more scars
Dan: Yeah
Eric: Anyway it''s a shame they discontinued Daredevil
Dan: I know... shame shame shame
Eric: Netflix''s walk of shame
Dan: They''re as blind as Matt Murdock but without the radar XD",FacEval,['Logical Error']
2011,13864835,BART,[],[],Tony shares a photo of a cat.,0,[],"Tony: <photo_file>
Amy: Sweet little cat <3
Lucas: Adorable!! ",SAMSum,[]
2014,13864835,GPT-4,[],[],"Tony shares a photo of a cat, which Amy and Lucas both find adorable.",0,[],"Tony: <photo_file>
Amy: Sweet little cat <3
Lucas: Adorable!! ",SAMSum,[]
2015,13864835,Alpaca-13B,[],[],"Tony shared a photo of his cat, Amy commented that the cat was sweet, and Lucas expressed his affection for the cat.",0,[],"Tony: <photo_file>
Amy: Sweet little cat <3
Lucas: Adorable!! ",SAMSum,[]
2017,13611559,BART,[],[],"Rashi is confused about her career options. Teacher advises her to choose a career which interests her, get experienced and try to expand her scope.",0,[],"Teacher: Rashi, why are you so low? 
Rashi: Ma’am I’m a bit confused about my career. 
Teacher: What is your confusion?
Rashi: I was discussing with my friends about the career options. 
Teacher: Hmm.
Rashi: There are too many to choose from.
Teacher: Choose a career based on what truly interests you. 
Rashi: I have many that interests me. How does it determine the career?
Teacher: The passion you have for what you do drives you to success. 
Rashi: But what about earnings?
Teacher: Remember at some point of time one should learn to balance  between duties and success.
Rashi: How do I do that?
Teacher: Choose a career which interests you, get experienced and try to progress and widen the scope after a while.
Rashi: Hmm, ok.
Teacher: Something like earn and learn sort of..
Rashi: You are so right. I will remember this.
Teacher: So hope I managed to answer your questions.
Rashi: Yes mam! Thank you very much! 
Teacher : You are most welcome, Rashi.",SAMSum,[]
2020,13611559,GPT-4,['not only focus on earning potential'],['Not found'],"Rashi, a student, expresses her confusion about choosing a career to her teacher. After a discussion, the teacher advises Rashi to follow her interests and passions, and not only focus on earning potential, while further suggesting that balance is key in any career. She suggests that Rashi should gain experience in her field of interest and then work to widen her scope with time, making it a blend of earning and learning. Rashi acknowledges the advice as helpful.",1,['Extrinsic_Error'],"Teacher: Rashi, why are you so low? 
Rashi: Ma’am I’m a bit confused about my career. 
Teacher: What is your confusion?
Rashi: I was discussing with my friends about the career options. 
Teacher: Hmm.
Rashi: There are too many to choose from.
Teacher: Choose a career based on what truly interests you. 
Rashi: I have many that interests me. How does it determine the career?
Teacher: The passion you have for what you do drives you to success. 
Rashi: But what about earnings?
Teacher: Remember at some point of time one should learn to balance  between duties and success.
Rashi: How do I do that?
Teacher: Choose a career which interests you, get experienced and try to progress and widen the scope after a while.
Rashi: Hmm, ok.
Teacher: Something like earn and learn sort of..
Rashi: You are so right. I will remember this.
Teacher: So hope I managed to answer your questions.
Rashi: Yes mam! Thank you very much! 
Teacher : You are most welcome, Rashi.",SAMSum,['Circumstantial Inference']
2021,13611559,Alpaca-13B,[],[],Rashi was confused about her career options and discussed with her friends. She was unsure of how to choose a career and asked her teacher for advice. The teacher suggested that she should choose a career based on her interests and encouraged her to learn and progress over time. Rashi was grateful for the advice.,0,[],"Teacher: Rashi, why are you so low? 
Rashi: Ma’am I’m a bit confused about my career. 
Teacher: What is your confusion?
Rashi: I was discussing with my friends about the career options. 
Teacher: Hmm.
Rashi: There are too many to choose from.
Teacher: Choose a career based on what truly interests you. 
Rashi: I have many that interests me. How does it determine the career?
Teacher: The passion you have for what you do drives you to success. 
Rashi: But what about earnings?
Teacher: Remember at some point of time one should learn to balance  between duties and success.
Rashi: How do I do that?
Teacher: Choose a career which interests you, get experienced and try to progress and widen the scope after a while.
Rashi: Hmm, ok.
Teacher: Something like earn and learn sort of..
Rashi: You are so right. I will remember this.
Teacher: So hope I managed to answer your questions.
Rashi: Yes mam! Thank you very much! 
Teacher : You are most welcome, Rashi.",SAMSum,[]
2024,13813575,BART,[],[],"Fiona will prepare a tart for Chris. Tina will help her. Fiona bought the crust, but it's too late to make the filling.",0,[],"Fiona: Are you free?
Tina: Yes, what's up?
Fiona: I'm trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I'm flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It's not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it's too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don't worry. The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.",FacEval,[]
2026,13813575,GPT-4,[],[],"Fiona asks Tina for help in preparing Tina's tart recipe for a dinner she's planning for Chris. Fiona confesses she bought the crust and had previously tried making the filling, but ended up with what she describes as lemony scrambled eggs. Tina explains that the eggs need to be continually mixed in order to avoid this issue.",0,[],"Fiona: Are you free?
Tina: Yes, what''s up?
Fiona: I''m trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I''m flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It''s not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it''s too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don''t worry. The thing is that once you start adding eggs you can''t stop mixing it, otherwise you''ll end up with scrambled eggs.",FacEval,[]
2027,13813575,Alpaca-13B,[],[],"Fiona is trying to prepare a nice dinner for Chris and she wants to make Tina's tart. Tina is flattered and offers to help her, but Fiona admits that she bought the crust. Tina warns her that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.",0,[],"Fiona: Are you free?
Tina: Yes, what''s up?
Fiona: I''m trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I''m flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It''s not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it''s too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don''t worry. The thing is that once you start adding eggs you can''t stop mixing it, otherwise you''ll end up with scrambled eggs.",FacEval,[]
2030,13830046,BART,"[None, None, None]",[],Gina will use a free usb in Monica's office on the second floor in room 112.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Gina: Hey love, do you have a free usb by any chance?
Monica: Yes, I do :)
Gina: Can I come up to your office?
Monica: Of course, usb's ready
Monica: 2nd floor, room 112
Gina: Thanks!",FacEval,['Logical Error']
2032,13830046,GPT-4,[],[],"Gina asks Monica for a spare USB. Monica confirms she has one and permits Gina to come to her office, which is room 112 on the 2nd floor, to collect it.",0,[],"Gina: Hey love, do you have a free usb by any chance?
Monica: Yes, I do :)
Gina: Can I come up to your office?
Monica: Of course, usb''s ready
Monica: 2nd floor, room 112
Gina: Thanks!",FacEval,[]
2033,13830046,Alpaca-13B,['offered for Gina to come up to her office'],['Gina :  Can I come up to your office?'],"Gina asked Monica if she had a free USB, and Monica replied that she did and offered for Gina to come up to her office to get it.",1,['Intrinsic_Error'],"Gina: Hey love, do you have a free usb by any chance?
Monica: Yes, I do :)
Gina: Can I come up to your office?
Monica: Of course, usb''s ready
Monica: 2nd floor, room 112
Gina: Thanks!",FacEval,['Logical Error']
2036,13727853,BART,"[None, None, None]",[],Jen wants to break up with her partner. She doesn't want to live with him anymore because he hasn't given her back the money he owes her. Jane believes Jen should do it.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Jen: I think I'm through with the dickhead. He's being a pain again. I'm going to tell him to move out.
Jane: Did he at least give you back the money he owes you?
Jen: No. He's freeloading and said he has no intention of giving back my money because I don't deserve it with the way I act.
Jane: He has a nerve doesn't he? How dare he?!!!
Jen: I've learnt to hate him with a passion. He's like vermin that you can't cull.
Jen: Abusive, nasty, annoying, irresponsible. He disgusts me.
Jane: Get rid of him! I told you right from the beginning that he's no good.
Jen: Yeah you were absolutely right.. as always.
Jane: I hate to say it but I can smell a fucktard a mile away.
Jen: I seem to pick them, don't I?
Jen: Sometimes I think it is my fault. If only I could be a better person, if only, if only....
Jane: You know that way of thinking will get you nowhere fast. It's self defeating. That's what the abusers want you think that you're bad and you deserve every bit of abuse that they dish out.
Jen: What if he doesn't leave? I'm afraid of asking him to leave 'cause it will only cause another fight.
Jane: You can't spend your whole life walking on eggshells.
Jen: Yeah, you're right... but how do I get out of this mess?
Jane: I think you've got to cut your losses and just move on.
Jen: Easier said than done.
Jane: I know. You've gotta do it Hon. If you don't things will only get worse. Think of how much worse they've already got since you met him.
Jen: Yeah you're right. Sometimes I just don't have the strength. 
Jane: I believe in you. Please do it! Remember I'm always there for you.",FacEval,['Logical Error']
2038,13727853,GPT-4,[],[],"Jen is expressing her frustration with her partner who she believes is abusing, freeloading, and generally causing her grief. Despite owing her money, he has stated he has no intention to repay her. Her friend Jane agrees with her, asserting that Jen's partner is indeed irresponsible. Jane encourages Jen to rid herself of him and stand up for herself, countering Jen's self-blaming thoughts and fears about potential future conflicts. Though Jen acknowledges Jane's advice is correct, she feels trapped and weak, expressing the difficulty of leaving an abusive relationship. Jane declares her support and belief in Jen's ability to break free from her toxic partner.",0,[],"Jen: I think I''m through with the dickhead. He''s being a pain again. I''m going to tell him to move out.
Jane: Did he at least give you back the money he owes you?
Jen: No. He''s freeloading and said he has no intention of giving back my money because I don''t deserve it with the way I act.
Jane: He has a nerve doesn''t he? How dare he?!!!
Jen: I''ve learnt to hate him with a passion. He''s like vermin that you can''t cull.
Jen: Abusive, nasty, annoying, irresponsible. He disgusts me.
Jane: Get rid of him! I told you right from the beginning that he''s no good.
Jen: Yeah you were absolutely right.. as always.
Jane: I hate to say it but I can smell a fucktard a mile away.
Jen: I seem to pick them, don''t I?
Jen: Sometimes I think it is my fault. If only I could be a better person, if only, if only....
Jane: You know that way of thinking will get you nowhere fast. It''s self defeating. That''s what the abusers want you think that you''re bad and you deserve every bit of abuse that they dish out.
Jen: What if he doesn''t leave? I''m afraid of asking him to leave ''cause it will only cause another fight.
Jane: You can''t spend your whole life walking on eggshells.
Jen: Yeah, you''re right... but how do I get out of this mess?
Jane: I think you''ve got to cut your losses and just move on.
Jen: Easier said than done.
Jane: I know. You''ve gotta do it Hon. If you don''t things will only get worse. Think of how much worse they''ve already got since you met him.
Jen: Yeah you''re right. Sometimes I just don''t have the strength. 
Jane: I believe in you. Please do it! Remember I''m always there for you.",FacEval,[]
